path;link;size;format;origem
Shin Megami Tensei - Devil Survivor 2 Record Breaker (USA).zip;https://archive.org/download/3dscia_202310/Shin Megami Tensei - Devil Survivor 2 Record Breaker (USA).zip;2.78 GiB;zip;archive-3dscia_202310
Shin Megami Tensei - Devil Survivor Overclocked (USA).zip;https://archive.org/download/3dscia_202310/Shin Megami Tensei - Devil Survivor Overclocked (USA).zip;1.12 GiB;zip;archive-3dscia_202310
Shin Megami Tensei - Strange Journey Redux (USA).zip;https://archive.org/download/3dscia_202310/Shin Megami Tensei - Strange Journey Redux (USA).zip;1.67 GiB;zip;archive-3dscia_202310
Shin Megami Tensei IV (USA).zip;https://archive.org/download/3dscia_202310/Shin Megami Tensei IV (USA).zip;1.75 GiB;zip;archive-3dscia_202310
Shin Megami Tensei IV - Apocalypse (USA).zip;https://archive.org/download/3dscia_202310/Shin Megami Tensei IV - Apocalypse (USA).zip;1.68 GiB;zip;archive-3dscia_202310
Shovel Knight (USA).zip;https://archive.org/download/3dscia_202310/Shovel Knight (USA).zip;90.50 MiB;zip;archive-3dscia_202310
Sonic Generations (USA).zip;https://archive.org/download/3dscia_202310/Sonic Generations (USA).zip;608.42 MiB;zip;archive-3dscia_202310
Spider-Man - Edge of Time (USA).zip;https://archive.org/download/3dscia_202310/Spider-Man - Edge of Time (USA).zip;818.61 MiB;zip;archive-3dscia_202310
SpongeBob SquarePants - SuperSponge (USA) (GBA VC).zip;https://archive.org/download/3dscia_202310/SpongeBob SquarePants - SuperSponge (USA) (GBA VC).zip;4.49 MiB;zip;archive-3dscia_202310
Star Fox 64 3D (USA).zip;https://archive.org/download/3dscia_202310/Star Fox 64 3D (USA).zip;576.67 MiB;zip;archive-3dscia_202310
SteamWorld Heist (USA).zip;https://archive.org/download/3dscia_202310/SteamWorld Heist (USA).zip;177.77 MiB;zip;archive-3dscia_202310
Story Of Seasons (USA).zip;https://archive.org/download/3dscia_202310/Story Of Seasons (USA).zip;557.46 MiB;zip;archive-3dscia_202310
StreetPass Mii Plaza (DLC) (USA).zip;https://archive.org/download/3dscia_202310/StreetPass Mii Plaza (DLC) (USA).zip;370.21 MiB;zip;archive-3dscia_202310
Super Mario 3D Land (USA).zip;https://archive.org/download/3dscia_202310/Super Mario 3D Land (USA).zip;289.39 MiB;zip;archive-3dscia_202310
Super Mario Advance (USA) (GBA VC).zip;https://archive.org/download/3dscia_202310/Super Mario Advance (USA) (GBA VC).zip;4.49 MiB;zip;archive-3dscia_202310
Super Mario Advance 4 - Super Mario Bros. 3 (USA) (GBA VC).zip;https://archive.org/download/3dscia_202310/Super Mario Advance 4 - Super Mario Bros. 3 (USA) (GBA VC).zip;4.49 MiB;zip;archive-3dscia_202310
Super Mario All-Stars + Super Mario World (USA) (SNES).zip;https://archive.org/download/3dscia_202310/Super Mario All-Stars + Super Mario World (USA) (SNES).zip;6.35 MiB;zip;archive-3dscia_202310
Super Mario Kart (USA) (SNES VC).zip;https://archive.org/download/3dscia_202310/Super Mario Kart (USA) (SNES VC).zip;5.18 MiB;zip;archive-3dscia_202310
Super Mario Maker for Nintendo 3DS (USA) (Rev 2).zip;https://archive.org/download/3dscia_202310/Super Mario Maker for Nintendo 3DS (USA) (Rev 2).zip;365.07 MiB;zip;archive-3dscia_202310
Super Mario World - Super Mario Advance 2 (USA) (GBA VC).zip;https://archive.org/download/3dscia_202310/Super Mario World - Super Mario Advance 2 (USA) (GBA VC).zip;4.50 MiB;zip;archive-3dscia_202310
Super Punch-Out!! (USA) (SNES VC).zip;https://archive.org/download/3dscia_202310/Super Punch-Out!! (USA) (SNES VC).zip;7.39 MiB;zip;archive-3dscia_202310
Super Smash Bros. for Nintendo 3DS (USA) (Rev 10).zip;https://archive.org/download/3dscia_202310/Super Smash Bros. for Nintendo 3DS (USA) (Rev 10).zip;1.39 GiB;zip;archive-3dscia_202310
Tales of the Abyss (USA).zip;https://archive.org/download/3dscia_202310/Tales of the Abyss (USA).zip;1.54 GiB;zip;archive-3dscia_202310
Tetris Ultimate (USA).zip;https://archive.org/download/3dscia_202310/Tetris Ultimate (USA).zip;49.66 MiB;zip;archive-3dscia_202310
