nome;preco;url;vendidos;estrelas;qtd-perguntas;data-ultima-pergunta;freteGratis;condicao
Relógio Militar Gemius Army Resistente A Água Pronta Entrega;83.99;https://produto.mercadolivre.com.br/MLB-712486667-relogio-militar-gemius-army-resistente-a-agua-pronta-entrega-_JM#position=6&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;16;;15;28/3/2019 16:53;True;Novo
Relógio Militar, Gemius Army, No Brasil! Frete Grátis!;89.99;https://produto.mercadolivre.com.br/MLB-738948120-relogio-militar-gemius-army-no-brasil-frete-gratis-_JM#position=7&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;1;;6;19/12/2016 20:23;True;Novo
Relógio Masculino Militar Gemiur Army Resistente A Água;79.99;https://produto.mercadolivre.com.br/MLB-783109177-relogio-masculino-militar-gemiur-army-resistente-a-agua-_JM#position=9&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;26;1.7;41;19/4/2017 01:56;True;Novo
Relógio Militar, Gemius Army, No Brasil! Frete Grátis!;79.97;https://produto.mercadolivre.com.br/MLB-738948275-relogio-militar-gemius-army-no-brasil-frete-gratis-_JM#position=10&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;13;5.0;22;05/4/2017 17:42;True;Novo
Relógio Quartz Militar Germius Army;39.9;https://produto.mercadolivre.com.br/MLB-1326762242-relogio-quartz-militar-germius-army-_JM#position=11&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;0;;False;Novo
Relógio Militar Americano Pulseira Preta;29.9;https://produto.mercadolivre.com.br/MLB-1397372065-relogio-militar-americano-pulseira-preta-_JM#position=12&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;0;;False;Novo
Relógio Gemius Army Masculino Preto;52.99;https://produto.mercadolivre.com.br/MLB-1403316709-relogio-gemius-army-masculino-preto-_JM#position=13&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;0;;False;Novo
Relógio Masculino Esport Militar Gemius Army Cod. 00031;39.9;https://produto.mercadolivre.com.br/MLB-1062709970-relogio-masculino-esport-militar-gemius-army-cod-00031-_JM#position=15&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;0;;False;Novo
Relogio Militar Gemius Army Sport Exercito Unisex;55.0;https://produto.mercadolivre.com.br/MLB-1090380952-relogio-militar-gemius-army-sport-exercito-unisex-_JM#position=16&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;0;;False;Usado
Relógio Pulso Moda Militar Pulseira Tecido Aço;39.9;https://produto.mercadolivre.com.br/MLB-1247840327-relogio-pulso-moda-militar-pulseira-tecido-aco-_JM#position=17&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;0;;False;Novo
Gemius Army Racing Force Militar Sport Mens Tecido Relógio P;47.41;https://produto.mercadolivre.com.br/MLB-1352094583-gemius-army-racing-force-militar-sport-mens-tecido-relogio-p-_JM#position=18&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;0;;True;Novo
Gemius Army Racing Force Militar Sport Mens Tecido Relógio B;47.1;https://produto.mercadolivre.com.br/MLB-1359570027-gemius-army-racing-force-militar-sport-mens-tecido-relogio-b-_JM#position=19&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;0;;True;Novo
Relógio Masculino Gemius Army Filme Brad Pitt Fury - Azul;37.5;https://produto.mercadolivre.com.br/MLB-1445136163-relogio-masculino-gemius-army-filme-brad-pitt-fury-azul-_JM#position=20&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;0;;False;Novo
Leia O Anuncio, Relogio Gemius Army;35.0;https://produto.mercadolivre.com.br/MLB-918572829-leia-o-anuncio-relogio-gemius-army-_JM#position=21&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;0;;False;Novo
Relogio Militar Gemius Army Sport Exercito Unisex;49.0;https://produto.mercadolivre.com.br/MLB-1065041221-relogio-militar-gemius-army-sport-exercito-unisex-_JM#position=22&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;0;;False;Usado
Relógio Masculino Gemius Azul Esporte;41.0;https://produto.mercadolivre.com.br/MLB-1284498415-relogio-masculino-gemius-azul-esporte-_JM#position=23&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;0;;False;Novo
Kit 3 Relogio Quartzo Militar Exercito De 90,00 Por;69.9;https://produto.mercadolivre.com.br/MLB-1292545986-kit-3-relogio-quartzo-militar-exercito-de-9000-por-_JM#position=24&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;0;;False;Novo
Gemius Army Racing Force Militar Sport Mens Tecido Relógio B;48.62;https://produto.mercadolivre.com.br/MLB-1352113443-gemius-army-racing-force-militar-sport-mens-tecido-relogio-b-_JM#position=25&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;0;;True;Novo
Gemius Army Racing Force Militar Sport Mens Tecido Relógio P;47.1;https://produto.mercadolivre.com.br/MLB-1359672096-gemius-army-racing-force-militar-sport-mens-tecido-relogio-p-_JM#position=26&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;0;;True;Novo
Relogio De Pulso Gemius Army;30.0;https://produto.mercadolivre.com.br/MLB-1369348630-relogio-de-pulso-gemius-army-_JM#position=27&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;0;;False;Novo
Relogio Militar Gemius Army;69.9;https://produto.mercadolivre.com.br/MLB-1437862009-relogio-militar-gemius-army-_JM#position=28&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;0;;False;Novo
Relógio Militar Gemius Army;69.9;https://produto.mercadolivre.com.br/MLB-1437874145-relogio-militar-gemius-army-_JM#position=29&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;0;;False;Novo
Relogio De Pulso Masculino Gemius Army Estilo Militar;60.0;https://produto.mercadolivre.com.br/MLB-1443411442-relogio-de-pulso-masculino-gemius-army-estilo-militar-_JM#position=30&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;0;;False;Novo
Gemius Army Racing Force Military Sport Band Tecido Mens Rel;48.4;https://produto.mercadolivre.com.br/MLB-1352206787-gemius-army-racing-force-military-sport-band-tecido-mens-rel-_JM#position=31&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;0;;True;Novo
Relógio Militar Esportivo Gemius Army Sport Exercito;29.99;https://produto.mercadolivre.com.br/MLB-837317494-relogio-militar-esportivo-gemius-army-sport-exercito-_JM#position=32&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;1;;0;;False;Novo
Joias Do Momento Relógio Gemius Army;29.99;https://produto.mercadolivre.com.br/MLB-861967457-joias-do-momento-relogio-gemius-army-_JM#position=33&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;1;;False;Novo
